*************************Generated by extractTensions.sh************************
*      Sun Mar 30 14:25:20 MDT 2025 - Case: 2D_RM6_noPTO_moored
* Note: Data was extracted from log.overInterDyMFoam using extractTensions.sh
*       Can be visualized with plotTensions.py
********************************************************************************
Time Line1_fx Line1_fy Line1_fz	Line2_fx Line2_fy Line2_fz	Line3_fx Line3_fy Line3_fz
0.01		-15.3041 	 -8.5265 	 -1.11708	-15.3041 	 8.5265 	 -1.11708	6.08463 	 -0 	 -1.78074
0.02		-15.3004 	 -8.52444 	 -1.11681	-15.3004 	 8.52444 	 -1.11681	6.08832 	 -0 	 -1.78177
0.03		-15.2886 	 -8.51795 	 -1.116	-15.2886 	 8.51795 	 -1.116	6.10053 	 -0 	 -1.78517
0.04		-15.2711 	 -8.50828 	 -1.1148	-15.2711 	 8.50828 	 -1.1148	6.11942 	 -0 	 -1.79048
0.05		-15.2493 	 -8.49628 	 -1.11332	-15.2493 	 8.49628 	 -1.11332	6.1426 	 -0 	 -1.79697
0.06		-15.2219 	 -8.48117 	 -1.11144	-15.2219 	 8.48117 	 -1.11144	6.17147 	 -0 	 -1.80503
0.07		-15.1894 	 -8.46327 	 -1.10923	-15.1894 	 8.46327 	 -1.10923	6.20644 	 -0 	 -1.81484
0.08		-15.1519 	 -8.44257 	 -1.10667	-15.1519 	 8.44257 	 -1.10667	6.24672 	 -0 	 -1.82611
0.09		-15.1089 	 -8.4189 	 -1.10373	-15.1089 	 8.4189 	 -1.10373	6.29233 	 -0 	 -1.83885
0.1		-15.0613 	 -8.3926 	 -1.10048	-15.0613 	 8.3926 	 -1.10048	6.34362 	 -0 	 -1.85319
0.11		-15.0086 	 -8.36357 	 -1.09689	-15.0086 	 8.36357 	 -1.09689	6.40021 	 -0 	 -1.869
0.12		-14.9509 	 -8.33175 	 -1.09294	-14.9509 	 8.33175 	 -1.09294	6.46186 	 -0 	 -1.88619
0.13		-14.8888 	 -8.29747 	 -1.0887	-14.8888 	 8.29747 	 -1.0887	6.52875 	 -0 	 -1.90484
0.14		-14.822 	 -8.26064 	 -1.08413	-14.822 	 8.26064 	 -1.08413	6.60064 	 -0 	 -1.92487
0.15		-14.7506 	 -8.22125 	 -1.07924	-14.7506 	 8.22125 	 -1.07924	6.67733 	 -0 	 -1.9462
0.16		-14.6751 	 -8.17959 	 -1.07408	-14.6751 	 8.17959 	 -1.07408	6.75886 	 -0 	 -1.96886
0.17		-14.5954 	 -8.13563 	 -1.06862	-14.5954 	 8.13563 	 -1.06862	6.84495 	 -0 	 -1.99277
0.18		-14.5116 	 -8.08937 	 -1.06288	-14.5116 	 8.08937 	 -1.06288	6.93544 	 -0 	 -2.01785
0.19		-14.4242 	 -8.04114 	 -1.05689	-14.4242 	 8.04114 	 -1.05689	7.03029 	 -0 	 -2.04413
0.2		-14.3332 	 -7.99089 	 -1.05065	-14.3332 	 7.99089 	 -1.05065	7.12921 	 -0 	 -2.0715
0.21		-14.2386 	 -7.93866 	 -1.04415	-14.2386 	 7.93866 	 -1.04415	7.23201 	 -0 	 -2.09989
0.22		-14.1408 	 -7.88464 	 -1.03744	-14.1408 	 7.88464 	 -1.03744	7.33865 	 -0 	 -2.12931
0.23		-14.0397 	 -7.82883 	 -1.0305	-14.0397 	 7.82883 	 -1.0305	7.44898 	 -0 	 -2.1597
