*************************Generated by extractMotion.sh**********************
*      Sun Mar 30 13:36:53 MDT 2025 - Case: backup_data/3D_ducky_drop
* Note: Data was extracted from log.overInterDyMFoam using extractLog.sh
*       Can be visualized with plotMotion.py                            
****************************************************************************
Time X(x3) Orientation(x9) dX(x3) dX_angular(x3)
0.3 11.3819 0 0.218771 0.999999 -5.27683e-06 -0.00133022 5.37296e-06 1 7.22589e-05 0.00133022 -7.22659e-05 0.999999  0 0 -2.53814 -0.00565342 -0.0404959 0.000466615
0.31 11.3819 0 0.193659 0.999997 -1.5798e-05 -0.00224693 1.62004e-05 1 0.000179094 0.00224693 -0.00017913 0.999997  0 0 -2.52753 -0.0129546 -0.111423 0.0013123
0.32 11.3819 0 0.16945 0.99999 -3.65881e-05 -0.00451854 3.78501e-05 1 0.000279207 0.00451853 -0.000279375 0.99999  0 0 -2.39715 -0.0114374 -0.277716 0.00258482
0.33 11.3819 0 0.146801 0.999964 -6.70508e-05 -0.00854151 7.02688e-05 1 0.000376447 0.00854149 -0.000377033 0.999963  0 0 -2.19523 -0.00931488 -0.486131 0.0037283
0.34 11.3819 0 0.125744 0.999901 -0.000108863 -0.0141017 0.000115839 1 0.000493861 0.0141017 -0.000495446 0.9999  0 0 -2.01621 -0.0118476 -0.646179 0.00500043
0.35 11.3819 0 0.105842 0.999786 -0.000160243 -0.0206937 0.000173505 1 0.000639064 0.0206936 -0.000642518 0.999786  0 0 -1.91547 -0.0158175 -0.726188 0.00608122
0.36 11.3819 0 0.0867478 0.999609 -0.00021919 -0.0279525 0.000241789 1 0.000805091 0.0279523 -0.000811535 0.999609  0 0 -1.86229 -0.0181831 -0.764277 0.00691225
0.37 11.3819 0 0.0682306 0.999365 -0.000283882 -0.0356226 0.000319173 0.999999 0.000985027 0.0356223 -0.000995772 0.999365  0 0 -1.82273 -0.0191555 -0.788147 0.00756239
0.38 11.3819 0 0.0501856 0.999052 -0.000352784 -0.0435416 0.000404178 0.999999 0.00117155 0.0435412 -0.00118804 0.999051  0 0 -1.78218 -0.0193987 -0.805113 0.00807948
0.39 11.3819 0 0.0325552 0.998668 -0.00042447 -0.0516041 0.000495299 0.999999 0.00135975 0.0516035 -0.0013835 0.998667  0 0 -1.7422 -0.0193617 -0.815174 0.00846283
