           0.1	   3.999968e+00  -1.000032e+00   3.999993e+00  -1.000007e+00   3.999999e+00  -1.000001e+00   4.000000e+00  -1.000000e+00   4.000000e+00  -1.000000e+00
0.2	   3.999794e+00  -1.000206e+00   3.999960e+00  -1.000040e+00   3.999991e+00  -1.000009e+00   3.999998e+00  -1.000002e+00   3.999999e+00  -1.000001e+00
0.3	   3.999410e+00  -1.000590e+00   3.999890e+00  -1.000110e+00   3.999975e+00  -1.000025e+00   3.999994e+00  -1.000006e+00   3.999999e+00  -1.000001e+00
0.4	   3.998776e+00  -1.001224e+00   3.999777e+00  -1.000223e+00   3.999949e+00  -1.000051e+00   3.999987e+00  -1.000013e+00   3.999997e+00  -1.000003e+00
0.5	   3.997887e+00  -1.002113e+00   3.999620e+00  -1.000380e+00   3.999912e+00  -1.000088e+00   3.999978e+00  -1.000022e+00   3.999994e+00  -1.000006e+00
0.6	   3.996785e+00  -1.003215e+00   3.999421e+00  -1.000579e+00   3.999863e+00  -1.000137e+00   3.999965e+00  -1.000035e+00   3.999991e+00  -1.000009e+00
0.7	   3.995562e+00  -1.004438e+00   3.999184e+00  -1.000816e+00   3.999802e+00  -1.000198e+00   3.999948e+00  -1.000052e+00   3.999986e+00  -1.000014e+00
0.8	   3.994378e+00  -1.005622e+00   3.998916e+00  -1.001084e+00   3.999730e+00  -1.000270e+00   3.999927e+00  -1.000073e+00   3.999981e+00  -1.000019e+00
0.9	   3.993457e+00  -1.006543e+00   3.998629e+00  -1.001371e+00   3.999646e+00  -1.000354e+00   3.999902e+00  -1.000098e+00   3.999973e+00  -1.000027e+00
1	   3.993084e+00  -1.006916e+00   3.998339e+00  -1.001661e+00   3.999553e+00  -1.000447e+00   3.999872e+00  -1.000128e+00   3.999963e+00  -1.000037e+00
1.1	   3.993543e+00  -1.006457e+00   3.998066e+00  -1.001934e+00   3.999453e+00  -1.000547e+00   3.999836e+00  -1.000164e+00   3.999952e+00  -1.000048e+00
1.2	   3.995072e+00  -1.004928e+00   3.997833e+00  -1.002167e+00   3.999347e+00  -1.000653e+00   3.999796e+00  -1.000204e+00   3.999938e+00  -1.000062e+00
1.3	   3.997802e+00  -1.002198e+00   3.997676e+00  -1.002324e+00   3.999244e+00  -1.000756e+00   3.999752e+00  -1.000248e+00   3.999921e+00  -1.000079e+00
1.4	   4.001622e+00  -9.983776e-01   3.997622e+00  -1.002378e+00   3.999145e+00  -1.000855e+00   3.999703e+00  -1.000297e+00   3.999902e+00  -1.000098e+00
1.5	   4.006183e+00  -9.938169e-01   3.997696e+00  -1.002304e+00   3.999056e+00  -1.000944e+00   3.999652e+00  -1.000348e+00   3.999880e+00  -1.000120e+00
1.6	   4.010989e+00  -9.890112e-01   3.997931e+00  -1.002069e+00   3.998982e+00  -1.001018e+00   3.999598e+00  -1.000402e+00   3.999855e+00  -1.000145e+00
1.7	   4.015455e+00  -9.845452e-01   3.998351e+00  -1.001649e+00   3.998930e+00  -1.001070e+00   3.999542e+00  -1.000458e+00   3.999828e+00  -1.000172e+00
1.8	   4.018989e+00  -9.810109e-01   3.998968e+00  -1.001032e+00   3.998905e+00  -1.001095e+00   3.999487e+00  -1.000513e+00   3.999797e+00  -1.000203e+00
1.9	   4.021128e+00  -9.788716e-01   3.999793e+00  -1.000207e+00   3.998914e+00  -1.001086e+00   3.999433e+00  -1.000567e+00   3.999764e+00  -1.000236e+00
2	   4.021473e+00  -9.785266e-01   4.000827e+00  -9.991731e-01   3.998963e+00  -1.001037e+00   3.999384e+00  -1.000616e+00   3.999728e+00  -1.000272e+00
2.1	   4.019714e+00  -9.802856e-01   4.002057e+00  -9.979429e-01   3.999061e+00  -1.000939e+00   3.999341e+00  -1.000659e+00   3.999690e+00  -1.000310e+00
2.2	   4.015761e+00  -9.842387e-01   4.003449e+00  -9.965508e-01   3.999212e+00  -1.000788e+00   3.999308e+00  -1.000692e+00   3.999652e+00  -1.000348e+00
2.3	   4.009852e+00  -9.901480e-01   4.004946e+00  -9.950536e-01   3.999423e+00  -1.000577e+00   3.999288e+00  -1.000712e+00   3.999613e+00  -1.000387e+00
2.4	   4.002499e+00  -9.975014e-01   4.006472e+00  -9.935278e-01   3.999696e+00  -1.000304e+00   3.999284e+00  -1.000716e+00   3.999575e+00  -1.000425e+00
2.5	   3.994368e+00  -1.005632e+00   4.007932e+00  -9.920683e-01   4.000037e+00  -9.999626e-01   3.999301e+00  -1.000699e+00   3.999540e+00  -1.000460e+00
2.6	   3.986124e+00  -1.013876e+00   4.009187e+00  -9.908130e-01   4.000444e+00  -9.995563e-01   3.999343e+00  -1.000657e+00   3.999508e+00  -1.000492e+00
2.7	   3.978473e+00  -1.021527e+00   4.010080e+00  -9.899198e-01   4.000910e+00  -9.990903e-01   3.999413e+00  -1.000587e+00   3.999483e+00  -1.000517e+00
2.8	   3.972124e+00  -1.027876e+00   4.010446e+00  -9.895541e-01   4.001426e+00  -9.985735e-01   3.999514e+00  -1.000486e+00   3.999465e+00  -1.000535e+00
2.9	   3.967666e+00  -1.032334e+00   4.010109e+00  -9.898911e-01   4.001979e+00  -9.980213e-01   3.999647e+00  -1.000353e+00   3.999457e+00  -1.000543e+00
3	   3.965581e+00  -1.034419e+00   4.008924e+00  -9.910760e-01   4.002548e+00  -9.974521e-01   3.999816e+00  -1.000184e+00   3.999462e+00  -1.000538e+00
3.1	   3.966190e+00  -1.033810e+00   4.006799e+00  -9.932015e-01   4.003110e+00  -9.968902e-01   4.000019e+00  -9.999811e-01   3.999481e+00  -1.000519e+00
3.2	   3.969638e+00  -1.030362e+00   4.003714e+00  -9.962863e-01   4.003635e+00  -9.963649e-01   4.000256e+00  -9.997437e-01   3.999517e+00  -1.000483e+00
3.3	   3.975881e+00  -1.024119e+00   3.999756e+00  -1.000244e+00   4.004091e+00  -9.959091e-01   4.000525e+00  -9.994748e-01   3.999571e+00  -1.000429e+00
3.4	   3.984654e+00  -1.015346e+00   3.995128e+00  -1.004872e+00   4.004441e+00  -9.955591e-01   4.000821e+00  -9.991785e-01   3.999646e+00  -1.000354e+00
3.5	   3.995487e+00  -1.004513e+00   3.990155e+00  -1.009845e+00   4.004647e+00  -9.953530e-01   4.001139e+00  -9.988612e-01   3.999742e+00  -1.000258e+00
3.6	   4.007650e+00  -9.923501e-01   3.985252e+00  -1.014748e+00   4.004668e+00  -9.953316e-01   4.001468e+00  -9.985317e-01   3.999862e+00  -1.000138e+00
3.7	   4.020215e+00  -9.797855e-01   3.980905e+00  -1.019095e+00   4.004467e+00  -9.955330e-01   4.001799e+00  -9.982009e-01   4.000004e+00  -9.999964e-01
3.8	   4.032139e+00  -9.678606e-01   3.977632e+00  -1.022368e+00   4.004013e+00  -9.959865e-01   4.002118e+00  -9.978815e-01   4.000168e+00  -9.998322e-01
3.9	   4.042257e+00  -9.577426e-01   3.975913e+00  -1.024087e+00   4.003287e+00  -9.967131e-01   4.002412e+00  -9.975881e-01   4.000353e+00  -9.996475e-01
4	   4.049331e+00  -9.506687e-01   3.976129e+00  -1.023871e+00   4.002278e+00  -9.977224e-01   4.002663e+00  -9.973372e-01   4.000555e+00  -9.994449e-01
4.1	   4.052322e+00  -9.476784e-01   3.978534e+00  -1.021466e+00   4.000994e+00  -9.990058e-01   4.002854e+00  -9.971462e-01   4.000772e+00  -9.992281e-01
4.2	   4.050616e+00  -9.493843e-01   3.983201e+00  -1.016799e+00   3.999467e+00  -1.000533e+00   4.002968e+00  -9.970322e-01   4.000998e+00  -9.990020e-01
4.3	   4.044195e+00  -9.558049e-01   3.989983e+00  -1.010017e+00   3.997748e+00  -1.002252e+00   4.002988e+00  -9.970122e-01   4.001227e+00  -9.987726e-01
4.4	   4.033565e+00  -9.664348e-01   3.998490e+00  -1.001510e+00   3.995913e+00  -1.004087e+00   4.002898e+00  -9.971018e-01   4.001453e+00  -9.985472e-01
4.5	   4.019714e+00  -9.802859e-01   4.008116e+00  -9.918844e-01   3.994065e+00  -1.005935e+00   4.002686e+00  -9.973135e-01   4.001666e+00  -9.983339e-01
4.6	   4.004019e+00  -9.959813e-01   4.018074e+00  -9.819258e-01   3.992331e+00  -1.007669e+00   4.002346e+00  -9.976543e-01   4.001859e+00  -9.981414e-01
4.7	   3.987934e+00  -1.012066e+00   4.027437e+00  -9.725635e-01   3.990856e+00  -1.009144e+00   4.001874e+00  -9.981258e-01   4.002021e+00  -9.979787e-01
4.8	   3.972758e+00  -1.027242e+00   4.035185e+00  -9.648150e-01   3.989787e+00  -1.010213e+00   4.001276e+00  -9.987245e-01   4.002144e+00  -9.978556e-01
4.9	   3.959687e+00  -1.040313e+00   4.040384e+00  -9.596163e-01   3.989273e+00  -1.010727e+00   4.000560e+00  -9.994396e-01   4.002218e+00  -9.977816e-01
5	   3.949751e+00  -1.050249e+00   4.042335e+00  -9.576653e-01   3.989445e+00  -1.010555e+00   3.999748e+00  -1.000252e+00   4.002234e+00  -9.977656e-01
5.1	   3.943737e+00  -1.056263e+00   4.040658e+00  -9.593420e-01   3.990416e+00  -1.009584e+00   3.998865e+00  -1.001135e+00   4.002184e+00  -9.978155e-01
5.2	   3.942152e+00  -1.057848e+00   4.035382e+00  -9.646184e-01   3.992253e+00  -1.007747e+00   3.997950e+00  -1.002050e+00   4.002063e+00  -9.979375e-01
5.3	   3.945167e+00  -1.054833e+00   4.026902e+00  -9.730976e-01   3.994970e+00  -1.005030e+00   3.997045e+00  -1.002955e+00   4.001865e+00  -9.981355e-01
5.4	   3.952636e+00  -1.047364e+00   4.015894e+00  -9.841063e-01   3.998516e+00  -1.001484e+00   3.996202e+00  -1.003798e+00   4.001590e+00  -9.984104e-01
5.5	   3.964053e+00  -1.035947e+00   4.003234e+00  -9.967661e-01   4.002761e+00  -9.972388e-01   3.995477e+00  -1.004523e+00   4.001240e+00  -9.987601e-01
5.6	   3.978588e+00  -1.021412e+00   3.989924e+00  -1.010076e+00   4.007497e+00  -9.925033e-01   3.994929e+00  -1.005071e+00   4.000821e+00  -9.991786e-01
