           0.1	   3.999969e+00  -3.080990e-05   3.999994e+00  -6.229109e-06   3.999999e+00  -1.413165e-06   4.000000e+00  -3.342641e-07   4.000000e+00  -7.941064e-08
0.2	   3.999804e+00  -1.960236e-04   3.999963e+00  -3.735276e-05   3.999992e+00  -8.451626e-06   3.999998e+00  -2.013952e-06   4.000000e+00  -4.827021e-07
0.3	   3.999429e+00  -5.714870e-04   3.999895e+00  -1.049750e-04   3.999976e+00  -2.382199e-05   3.999994e+00  -5.735343e-06   3.999999e+00  -1.390219e-06
0.4	   3.998799e+00  -1.200632e-03   3.999784e+00  -2.156187e-04   3.999951e+00  -4.931457e-05   3.999988e+00  -1.203754e-05   3.999997e+00  -2.959930e-06
0.5	   3.997913e+00  -2.086825e-03   3.999629e+00  -3.709461e-04   3.999914e+00  -8.591768e-05   3.999979e+00  -2.134198e-05   3.999995e+00  -5.340389e-06
0.6	   3.996811e+00  -3.188953e-03   3.999431e+00  -5.692258e-04   3.999866e+00  -1.341755e-04   3.999966e+00  -3.404417e-05   3.999991e+00  -8.695759e-06
0.7	   3.995588e+00  -4.411601e-03   3.999194e+00  -8.056719e-04   3.999806e+00  -1.942817e-04   3.999949e+00  -5.053998e-05   3.999987e+00  -1.321469e-05
0.8	   3.994404e+00  -5.595686e-03   3.998928e+00  -1.072412e-03   3.999734e+00  -2.660471e-04   3.999929e+00  -7.121582e-05   3.999981e+00  -1.911046e-05
0.9	   3.993486e+00  -6.513566e-03   3.998642e+00  -1.358110e-03   3.999651e+00  -3.488290e-04   3.999904e+00  -9.642967e-05   3.999973e+00  -2.661914e-05
1	   3.993108e+00  -6.892479e-03   3.998352e+00  -1.647879e-03   3.999559e+00  -4.414443e-04   3.999874e+00  -1.264736e-04   3.999964e+00  -3.599168e-05
1.1	   3.993564e+00  -6.435660e-03   3.998081e+00  -1.919429e-03   3.999459e+00  -5.412002e-04   3.999839e+00  -1.613320e-04   3.999953e+00  -4.743803e-05
1.2	   3.995099e+00  -4.900648e-03   3.997851e+00  -2.149398e-03   3.999355e+00  -6.452069e-04   3.999799e+00  -2.009665e-04   3.999939e+00  -6.118940e-05
1.3	   3.997831e+00  -2.169328e-03   3.997694e+00  -2.306381e-03   3.999251e+00  -7.486415e-04   3.999755e+00  -2.448975e-04   3.999923e+00  -7.739600e-05
1.4	   4.001650e+00   1.649990e-03   3.997638e+00  -2.362123e-03   3.999153e+00  -8.472157e-04   3.999707e+00  -2.927391e-04   3.999904e+00  -9.624230e-05
1.5	   4.006189e+00   6.189324e-03   3.997707e+00  -2.293231e-03   3.999063e+00  -9.373273e-04   3.999656e+00  -3.442323e-04   3.999882e+00  -1.179610e-04
1.6	   4.011005e+00   1.100510e-02   3.997946e+00  -2.054059e-03   3.998991e+00  -1.009397e-03   3.999602e+00  -3.975665e-04   3.999858e+00  -1.424178e-04
1.7	   4.015456e+00   1.545623e-02   3.998372e+00  -1.627791e-03   3.998941e+00  -1.059133e-03   3.999548e+00  -4.519894e-04   3.999830e+00  -1.697269e-04
1.8	   4.018969e+00   1.896871e-02   3.998997e+00  -1.003444e-03   3.998918e+00  -1.081793e-03   3.999494e+00  -5.064246e-04   3.999800e+00  -1.999061e-04
1.9	   4.021102e+00   2.110182e-02   3.999829e+00  -1.711759e-04   3.998929e+00  -1.070816e-03   3.999441e+00  -5.590521e-04   3.999767e+00  -2.327645e-04
2	   4.021438e+00   2.143777e-02   4.000861e+00   8.610708e-04   3.998979e+00  -1.020742e-03   3.999392e+00  -6.080258e-04   3.999732e+00  -2.680467e-04
2.1	   4.019642e+00   1.964154e-02   4.002086e+00   2.085526e-03   3.999077e+00  -9.232231e-04   3.999350e+00  -6.503273e-04   3.999695e+00  -3.051470e-04
2.2	   4.015663e+00   1.566270e-02   4.003478e+00   3.478462e-03   3.999230e+00  -7.697769e-04   3.999318e+00  -6.824700e-04   3.999657e+00  -3.432203e-04
2.3	   4.009721e+00   9.720703e-03   4.004973e+00   4.973126e-03   3.999442e+00  -5.580456e-04   3.999298e+00  -7.018441e-04   3.999618e+00  -3.815024e-04
2.4	   4.002376e+00   2.375805e-03   4.006502e+00   6.502105e-03   3.999719e+00  -2.810165e-04   3.999296e+00  -7.041267e-04   3.999581e+00  -4.186554e-04
2.5	   3.994199e+00  -5.800547e-03   4.007951e+00   7.951376e-03   4.000061e+00   6.139284e-05   3.999314e+00  -6.858182e-04   3.999547e+00  -4.533621e-04
2.6	   3.985994e+00  -1.400579e-02   4.009203e+00   9.202545e-03   4.000471e+00   4.711582e-04   3.999358e+00  -6.423763e-04   3.999516e+00  -4.838101e-04
